City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Boali,CF,4.8005,18.1275,69.89,96,99,2.24,overcast clouds
243,Maniitsoq,GL,65.4167,-52.9,48.47,75,100,3.44,overcast clouds
244,Paamiut,GL,61.994,-49.6678,45.66,93,100,8.59,overcast clouds
245,Faya,SA,18.3851,42.4509,63.12,62,81,5.59,broken clouds
246,Benghazi,LY,32.1167,20.0667,81.57,66,0,9.15,clear sky
247,Aklavik,CA,68.2191,-135.0107,74.89,50,100,13.62,overcast clouds
248,Ushibuka,JP,32.1906,130.0228,83.17,72,100,5.39,overcast clouds
249,Westport,US,41.1415,-73.3579,72.77,78,90,3.0,overcast clouds
250,Lacdayan,PH,13.6,122.5333,86.13,70,66,12.48,moderate rain
251,Port Hardy,CA,50.6996,-127.4199,64.35,73,7,14.29,clear sky
252,Byron Bay,AU,-28.65,153.6167,73.06,87,100,10.27,overcast clouds
253,Isiro,CD,2.7739,27.616,65.57,99,100,1.68,overcast clouds
254,Dingle,PH,10.9995,122.6711,85.78,70,98,14.36,overcast clouds
255,San Rafael,AR,-34.6177,-68.3301,52.88,35,0,9.37,clear sky
256,Arica,CL,-18.475,-70.3042,61.03,77,90,4.61,overcast clouds
257,Luderitz,NA,-26.6481,15.1594,63.1,38,0,7.34,clear sky
258,Tarsus,TR,36.9188,34.8784,78.67,69,0,3.47,clear sky
259,Bria,CF,6.5423,21.9863,67.66,91,100,2.1,overcast clouds
260,Malkara,TR,40.89,26.9011,73.98,53,0,2.15,clear sky
261,Henties Bay,NA,-22.116,14.2845,68.86,39,0,6.11,clear sky
262,Talara,PE,-4.5772,-81.2719,65.28,87,0,20.15,clear sky
263,Havre-Saint-Pierre,CA,50.2334,-63.5986,56.89,78,67,11.54,broken clouds
264,Touros,BR,-5.1989,-35.4608,76.1,73,9,17.45,clear sky
265,Shimoda,JP,34.6667,138.95,84.24,70,63,8.03,broken clouds
266,Rayadrug,IN,14.7,76.8667,71.65,82,93,14.99,overcast clouds
267,Coihaique,CL,-45.5752,-72.0662,51.75,66,75,11.5,moderate rain
268,Kabare,CD,-2.4683,28.8242,62.26,64,71,1.81,broken clouds
