City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
344,Arrifes,PT,71.85,broken clouds,37.7667,-25.7,Hotel Ponta Delgada
345,Guatire,VE,75.7,few clouds,10.4762,-66.5427,Parque Residencial Canaima I
355,Sabang,ID,82.67,overcast clouds,5.8933,95.3214,Hotel Citra
358,Port Blair,IN,82.22,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
361,Nantucket,US,68.11,overcast clouds,41.2835,-70.0995,Jared Coffin House
363,Pilar,BR,71.53,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
365,Prainha,BR,75.02,overcast clouds,-1.8,-53.48,Casa Rocha
366,Suvorovo,BG,76.91,clear sky,43.3333,27.6,Hotel G Mar
368,Troy,US,67.93,broken clouds,42.6056,-83.1499,Embassy Suites by Hilton Detroit Troy Auburn Hills
370,Samarai,PG,78.42,overcast clouds,-10.6167,150.6667,Nuli Sapi
372,Grand-Santi,GF,73.78,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
373,Coruripe,BR,72.57,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
377,Bokovskaya,RU,74.14,few clouds,49.229,41.8306,Gostinitsa Stanitsa
381,Dalbandin,PK,82.98,scattered clouds,28.8947,64.4101,Sanjrani House
383,Mirnyy,RU,70.12,overcast clouds,62.5353,113.9611,квартира
386,San-Pedro,CI,75.69,overcast clouds,4.7485,-6.6363,Hotel Maria
392,College,US,79.12,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
393,Vaitape,PF,78.1,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
396,Superior,US,71.28,clear sky,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
398,Ipixuna,BR,78.75,few clouds,-1.7625,-48.8043,Casa da Oscarina
402,San Quintin,MX,74.03,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
403,Filadelfia,US,73.29,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
405,Sinnamary,GF,78.03,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
406,Ndjole,GA,74.68,light rain,-0.1783,10.7649,Hotel Kevazingo
407,Saint-Pierre,RE,67.64,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
409,Bobrovytsya,UA,75.6,clear sky,50.75,31.3833,"Готель ""Трубіж"""
412,Dalby,AU,77.99,scattered clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
413,Keti Bandar,PK,81.93,overcast clouds,24.1447,67.4497,Haji laloo memon house
414,Gaur,NP,80.02,overcast clouds,26.7667,85.2667,Attorney Office
415,Bumba,CD,70.11,overcast clouds,2.1833,22.4667,Hôtel Cape Town
416,Kenai,US,75.29,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
417,Marrakesh,MA,69.87,broken clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
419,Zemio,CF,67.82,light rain,5.0314,25.1361,OCHA Office
426,Merrill,US,66.38,clear sky,45.1805,-89.6835,Prairie Motel
427,Grand Gaube,MU,66.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
429,Itarema,BR,75.92,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
430,Bhuj,IN,80.53,overcast clouds,23.2667,69.6667,Regenta Resort Bhuj
432,Nelson Bay,AU,67.28,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
434,Tlacotepec,MX,65.71,overcast clouds,20.0667,-97.8667,RANCHO LA ILUSION
435,Kununurra,AU,82.38,clear sky,-15.7667,128.7333,Hotel Kununurra
437,Cabedelo,BR,72.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
438,Lufilufi,WS,77.79,moderate rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
440,Xunchang,CN,79.56,clear sky,28.4543,104.715,Jiabin Inn
441,Salinopolis,BR,77.94,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
442,Kencong,ID,79.74,scattered clouds,-8.2833,113.3667,GUBUK SUGIANTO
443,Bengkulu,ID,75.9,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
444,Hobyo,SO,76.89,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
445,Mayo,US,75.87,few clouds,38.8876,-76.5119,Resorts Resource Group International
446,Charters Towers,AU,77.49,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
447,Amahai,ID,81.81,few clouds,-3.3333,128.9167,HOTEL ISABELA
448,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
449,Minsk,BY,65.95,overcast clouds,53.9,27.5667,Minsk Hotel
452,Guangyuan,CN,84.76,clear sky,32.442,105.823,Guangyuan Poetry Hotel
453,Luquillo,PR,82.81,scattered clouds,18.3725,-65.7166,Yunque Mar Beach Hotel
455,Kapit,MY,75.65,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
458,Phuket,TH,84.09,broken clouds,8.0,98.25,The Surin Phuket
459,Corn Island,NI,82.26,overcast clouds,12.1694,-83.0418,Big Fish Guest House
461,Kroya,ID,76.71,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
462,Innisfail,AU,76.35,clear sky,-17.5333,146.0333,Moondarra Motel
463,Fare,PF,77.23,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
465,Sibolga,ID,77.16,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
466,Haines Junction,CA,81.82,few clouds,60.7522,-137.5108,Parkside Inn
470,Kalmunai,LK,79.79,overcast clouds,7.4167,81.8167,VS Villa
477,North Bend,US,66.92,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
478,Dongsheng,CN,67.73,few clouds,39.8161,109.9776,Crowne Plaza Ordos
482,Odienne,CI,69.15,few clouds,9.51,-7.5692,Oustaz Vame DIAKITE
483,Fougamou,GA,73.62,overcast clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
484,Bhatkal,IN,78.12,overcast clouds,13.9667,74.5667,Nilawar Palace
